,n_correct_answers,n_non_common_mistakes (<0.01 or 1 student),top0.80,percent_wrong_answers,top0.20,top0.50,mistakes_normalized_entropy,n_wrong_answers,n_common_mistakes(>0.10),n_students
0,1.0,0.0,5.0,0.2910958904109589,0.0,2.0,0.8234764822976927,14.0,4.0,211
1,1.0,6.0,4.0,0.34516129032258064,0.0,2.0,0.7598466938209322,15.0,4.0,211
2,1.0,26.0,6.0,0.5373134328358209,0.0,2.0,0.6709129946215858,36.0,3.0,218
3,1.0,6.0,11.0,0.3443708609271523,0.0,4.0,0.8612011921193212,24.0,2.0,205
4,2.0,0.0,9.0,0.1447587354409318,1.0,3.0,0.8652978197612333,22.0,4.0,518
5,1.0,0.0,4.0,0.0946843853820598,0.0,0.0,0.6160020662423156,13.0,1.0,544
6,1.0,10.0,8.0,0.35782747603833864,1.0,4.0,0.8611198247015639,23.0,3.0,207
7,1.0,0.0,7.0,0.1490566037735849,1.0,3.0,0.8711227801277246,17.0,4.0,451
8,1.0,3.0,5.0,0.45308310991957107,1.0,3.0,0.8410686867157448,14.0,5.0,209
9,1.0,2.0,10.0,0.4012345679012346,0.0,3.0,0.8821382886822696,20.0,2.0,201
10,1.0,8.0,6.0,0.23305785123966943,0.0,2.0,0.7933276583654557,19.0,3.0,464
11,1.0,0.0,6.0,0.044964028776978415,0.0,2.0,0.9143334911977634,11.0,4.0,530
12,1.0,16.0,9.0,0.4156378600823045,1.0,4.0,0.8469980155638931,28.0,3.0,156
13,2.0,0.0,5.0,0.06141732283464567,0.0,1.0,0.7486054507202602,12.0,2.0,570
14,3.0,0.0,4.0,0.076103500761035,0.0,0.0,0.6566412905681595,12.0,1.0,564
15,1.0,0.0,10.0,0.0981012658227848,1.0,3.0,0.8582402960440128,23.0,2.0,565
16,2.0,15.0,12.0,0.22877697841726619,1.0,5.0,0.8622610685788128,34.0,2.0,538
17,1.0,5.0,4.0,0.2721311475409836,0.0,0.0,0.6258320836781858,15.0,2.0,453
18,1.0,0.0,6.0,0.05490848585690516,0.0,1.0,0.7997114353808734,13.0,2.0,567
19,1.0,0.0,6.0,0.09803921568627451,0.0,2.0,0.8580285731282492,14.0,2.0,445
20,2.0,33.0,13.0,0.3253588516746411,0.0,3.0,0.7446913414547942,51.0,2.0,565
21,1.0,9.0,5.0,0.2594417077175698,0.0,2.0,0.7629882361344241,20.0,3.0,458
22,1.0,2.0,6.0,0.3448275862068966,0.0,3.0,0.890837121004648,13.0,3.0,212
23,1.0,0.0,10.0,0.08634538152610442,0.0,3.0,0.8887270402777624,19.0,2.0,455
24,1.0,50.0,14.0,0.5272727272727272,0.0,2.0,0.6826945752141464,65.0,1.0,373
25,2.0,0.0,13.0,0.10975609756097561,1.0,3.0,0.867788696350041,28.0,3.0,574
26,1.0,6.0,7.0,0.4895833333333333,0.0,3.0,0.8406983636724089,19.0,3.0,208
27,1.0,19.0,5.0,0.21468926553672316,0.0,1.0,0.6498799034919582,29.0,2.0,561
28,1.0,0.0,6.0,0.05,0.0,2.0,0.9005078941313097,12.0,3.0,553
29,1.0,0.0,11.0,0.29454545454545455,1.0,5.0,0.9155808740888379,22.0,2.0,199
30,1.0,0.0,5.0,0.06477732793522267,0.0,2.0,0.9006002572050302,10.0,4.0,462
